onset	duration	trial_type
0	16	Rest
16	16	Toe movements
32	16	Eye movements
48	16	Forearm movements
64	16	Wrist movements
80	16	Lip movements
96	16	Left leg movements
112	16	Rest
128	16	Tongue movements
144	16	Ankle movements
160	16	Jaw movements
176	16	Right leg movements
192	16	Upper arm movements
208	16	Finger movements
224	16	Rest
240	16	Finger movements
256	16	Upper arm movements
272	16	Right leg movements
288	16	Jaw movements
304	16	Ankle movements
320	16	Tongue movements
336	16	Rest
352	16	Left leg movements
368	16	Lip movements
384	16	Wrist movements
400	16	Forearm movements
416	16	Eye movements
432	16	Toe movements
448	16	Rest
