onset	duration	trial_type
0	16	Rest
16	16	Wrist movements
32	16	Lip movements
48	16	Forearm movements
64	16	Left leg movements
80	16	Eye movements
96	16	Toe movements
112	16	Rest
128	16	Ankle movements
144	16	Finger movements
160	16	Tongue movements
176	16	Jaw movements
192	16	Upper arm movements
208	16	Right leg movements
224	16	Rest
240	16	Right leg movements
256	16	Upper arm movements
272	16	Jaw movements
288	16	Tongue movements
304	16	Finger movements
320	16	Ankle movements
336	16	Rest
352	16	Toe movements
368	16	Eye movements
384	16	Left leg movements
400	16	Forearm movements
416	16	Lip movements
432	16	Wrist movements
448	16	Rest
