onset	duration	trial_type
0	16	Rest
16	16	Tongue movements
32	16	Right leg movements
48	16	Upper arm movements
64	16	Finger movements
80	16	Ankle movements
96	16	Jaw movements
112	16	Rest
128	16	Lip movements
144	16	Wrist movements
160	16	Eye movements
176	16	Forearm movements
192	16	Left leg movements
208	16	Toe movements
224	16	Rest
240	16	Toe movements
256	16	Left leg movements
272	16	Forearm movements
288	16	Eye movements
304	16	Wrist movements
320	16	Lip movements
336	16	Rest
352	16	Jaw movements
368	16	Ankle movements
384	16	Finger movements
400	16	Upper arm movements
416	16	Right leg movements
432	16	Tongue movements
448	16	Rest
