onset	duration	trial_type
0	16	Rest
16	16	Right leg movements
32	16	Jaw movements
48	16	Tongue movements
64	16	Finger movements
80	16	Upper arm movements
96	16	Ankle movements
112	16	Rest
128	16	Left leg movements
144	16	Toe movements
160	16	Wrist movements
176	16	Forearm movements
192	16	Eye movements
208	16	Lip movements
224	16	Rest
240	16	Lip movements
256	16	Eye movements
272	16	Forearm movements
288	16	Wrist movements
304	16	Toe movements
320	16	Left leg movements
336	16	Rest
352	16	Ankle movements
368	16	Upper arm movements
384	16	Finger movements
400	16	Tongue movements
416	16	Jaw movements
432	16	Right leg movements
448	16	Rest
