onset	duration	trial_type
0	16	Rest
16	16	Eye movements
32	16	Toe movements
48	16	Lip movements
64	16	Forearm movements
80	16	Left leg movements
96	16	Wrist movements
112	16	Rest
128	16	Right leg movements
144	16	Tongue movements
160	16	Ankle movements
176	16	Jaw movements
192	16	Finger movements
208	16	Upper arm movements
224	16	Rest
240	16	Upper arm movements
256	16	Finger movements
272	16	Jaw movements
288	16	Ankle movements
304	16	Tongue movements
320	16	Right leg movements
336	16	Rest
352	16	Wrist movements
368	16	Left leg movements
384	16	Forearm movements
400	16	Lip movements
416	16	Toe movements
432	16	Eye movements
448	16	Rest
