onset	duration	trial_type
0	16	Rest
16	16	Jaw movements
32	16	Right leg movements
48	16	Ankle movements
64	16	Tongue movements
80	16	Finger movements
96	16	Upper arm movements
112	16	Rest
128	16	Toe movements
144	16	Eye movements
160	16	Left leg movements
176	16	Forearm movements
192	16	Wrist movements
208	16	Lip movements
224	16	Rest
240	16	Lip movements
256	16	Wrist movements
272	16	Forearm movements
288	16	Left leg movements
304	16	Eye movements
320	16	Toe movements
336	16	Rest
352	16	Upper arm movements
368	16	Finger movements
384	16	Tongue movements
400	16	Ankle movements
416	16	Right leg movements
432	16	Jaw movements
448	16	Rest
