onset	duration	trial_type
0	16	Rest
16	16	Wrist movements
32	16	Toe movements
48	16	Left leg movements
64	16	Lip movements
80	16	Forearm movements
96	16	Eye movements
112	16	Rest
128	16	Upper arm movements
144	16	Finger movements
160	16	Ankle movements
176	16	Tongue movements
192	16	Right leg movements
208	16	Jaw movements
224	16	Rest
240	16	Jaw movements
256	16	Right leg movements
272	16	Tongue movements
288	16	Ankle movements
304	16	Finger movements
320	16	Upper arm movements
336	16	Rest
352	16	Eye movements
368	16	Forearm movements
384	16	Lip movements
400	16	Left leg movements
416	16	Toe movements
432	16	Wrist movements
448	16	Rest
