onset	duration	trial_type
0	16	Rest
16	16	Ankle movements
32	16	Upper arm movements
48	16	Right leg movements
64	16	Finger movements
80	16	Jaw movements
96	16	Tongue movements
112	16	Rest
128	16	Toe movements
144	16	Forearm movements
160	16	Eye movements
176	16	Left leg movements
192	16	Wrist movements
208	16	Lip movements
224	16	Rest
240	16	Lip movements
256	16	Wrist movements
272	16	Left leg movements
288	16	Eye movements
304	16	Forearm movements
320	16	Toe movements
336	16	Rest
352	16	Tongue movements
368	16	Jaw movements
384	16	Finger movements
400	16	Right leg movements
416	16	Upper arm movements
432	16	Ankle movements
448	16	Rest
