onset	duration	trial_type
0	16	Rest
16	16	Jaw movements
32	16	Finger movements
48	16	Ankle movements
64	16	Right leg movements
80	16	Upper arm movements
96	16	Tongue movements
112	16	Rest
128	16	Toe movements
144	16	Eye movements
160	16	Lip movements
176	16	Wrist movements
192	16	Left leg movements
208	16	Forearm movements
224	16	Rest
240	16	Forearm movements
256	16	Left leg movements
272	16	Wrist movements
288	16	Lip movements
304	16	Eye movements
320	16	Toe movements
336	16	Rest
352	16	Tongue movements
368	16	Upper arm movements
384	16	Right leg movements
400	16	Ankle movements
416	16	Finger movements
432	16	Jaw movements
448	16	Rest
